Sequence_identifier,_NormalizedVDWVC2,_PolarizabilityC2,_PolarizabilityC3,_ChargeC1,_PolarizabilityC1,_SecondaryStrC2,_SecondaryStrC3,_NormalizedVDWVC3,_SecondaryStrC1,_SolventAccessibilityC1,_SolventAccessibilityC2,_SolventAccessibilityC3,_NormalizedVDWVC1,_HydrophobicityC3,_HydrophobicityC1,_ChargeC3,_PolarityC2,_PolarityC1,_HydrophobicityC2,_PolarityC3,_ChargeC2
7010,0.304,0.378,0.209,0.07,0.413,0.316,0.341,0.209,0.343,0.471,0.244,0.285,0.475,0.287,0.244,0.072,0.186,0.314,0.469,0.087,0.857
7011,0.383,0.438,0.283,0.104,0.279,0.296,0.236,0.283,0.468,0.443,0.316,0.241,0.316,0.341,0.316,0.132,0.189,0.391,0.343,0.14,0.764
7012,0.366,0.396,0.214,0.101,0.389,0.293,0.286,0.214,0.422,0.47,0.32,0.21,0.417,0.276,0.32,0.154,0.18,0.32,0.403,0.111,0.744
7013,0.408,0.459,0.263,0.117,0.278,0.285,0.263,0.263,0.453,0.415,0.326,0.259,0.329,0.339,0.326,0.127,0.199,0.377,0.335,0.146,0.756
7014,0.367,0.495,0.241,0.106,0.265,0.332,0.291,0.241,0.377,0.46,0.325,0.215,0.315,0.362,0.325,0.119,0.21,0.386,0.312,0.139,0.774
7015,0.373,0.406,0.297,0.084,0.297,0.432,0.253,0.297,0.316,0.535,0.171,0.295,0.331,0.455,0.171,0.046,0.093,0.512,0.375,0.099,0.869
7016,0.337,0.405,0.278,0.107,0.317,0.317,0.249,0.278,0.434,0.439,0.288,0.273,0.361,0.366,0.288,0.112,0.161,0.405,0.346,0.117,0.78
7017,0.391,0.48,0.206,0.081,0.314,0.33,0.333,0.206,0.337,0.434,0.292,0.274,0.364,0.342,0.292,0.093,0.233,0.364,0.367,0.088,0.826
7018,0.465,0.504,0.24,0.124,0.256,0.364,0.256,0.24,0.38,0.473,0.302,0.225,0.287,0.403,0.302,0.093,0.178,0.426,0.295,0.14,0.783
7019,0.449,0.536,0.23,0.128,0.234,0.302,0.242,0.23,0.457,0.453,0.34,0.208,0.283,0.366,0.34,0.17,0.211,0.415,0.294,0.14,0.702
7020,0.453,0.543,0.234,0.125,0.223,0.317,0.245,0.234,0.438,0.438,0.34,0.223,0.275,0.37,0.34,0.17,0.223,0.419,0.291,0.136,0.706
7021,0.405,0.454,0.286,0.115,0.26,0.288,0.255,0.286,0.457,0.41,0.358,0.232,0.3,0.356,0.358,0.157,0.215,0.379,0.286,0.145,0.728
7022,0.382,0.453,0.209,0.091,0.338,0.261,0.267,0.209,0.472,0.466,0.297,0.237,0.392,0.302,0.297,0.118,0.209,0.34,0.401,0.114,0.791
7023,0.385,0.446,0.202,0.111,0.352,0.277,0.272,0.202,0.451,0.502,0.286,0.213,0.401,0.324,0.286,0.11,0.179,0.34,0.39,0.129,0.779
7024,0.384,0.439,0.238,0.085,0.323,0.262,0.256,0.238,0.482,0.457,0.329,0.213,0.341,0.348,0.329,0.146,0.201,0.36,0.323,0.116,0.768
7025,0.35,0.409,0.231,0.112,0.36,0.259,0.262,0.231,0.479,0.458,0.29,0.252,0.409,0.318,0.29,0.122,0.171,0.332,0.392,0.136,0.766
7026,0.357,0.416,0.227,0.105,0.357,0.255,0.262,0.227,0.483,0.462,0.29,0.248,0.406,0.322,0.29,0.126,0.178,0.336,0.388,0.129,0.769
7027,0.3,0.388,0.204,0.108,0.408,0.227,0.262,0.204,0.51,0.496,0.277,0.227,0.484,0.254,0.277,0.137,0.195,0.262,0.469,0.134,0.755
7028,0.35,0.382,0.293,0.134,0.325,0.287,0.248,0.293,0.465,0.395,0.389,0.217,0.357,0.293,0.389,0.159,0.223,0.312,0.318,0.14,0.707
7029,0.485,0.485,0.147,0.118,0.368,0.309,0.25,0.147,0.441,0.544,0.279,0.176,0.368,0.382,0.279,0.118,0.132,0.382,0.338,0.118,0.765
7030,0.283,0.322,0.156,0.029,0.522,0.249,0.395,0.156,0.356,0.507,0.195,0.298,0.561,0.259,0.195,0.098,0.122,0.298,0.546,0.059,0.873
7031,0.342,0.399,0.2,0.074,0.401,0.282,0.34,0.2,0.377,0.446,0.294,0.261,0.436,0.286,0.294,0.111,0.187,0.304,0.42,0.109,0.815
7032,0.423,0.49,0.134,0.04,0.376,0.315,0.356,0.134,0.329,0.409,0.262,0.329,0.443,0.282,0.262,0.074,0.248,0.315,0.456,0.06,0.886
7033,0.397,0.442,0.209,0.094,0.349,0.281,0.287,0.209,0.433,0.431,0.299,0.27,0.381,0.322,0.299,0.115,0.189,0.346,0.379,0.116,0.791
7034,0.477,0.542,0.149,0.065,0.309,0.225,0.34,0.149,0.435,0.366,0.454,0.179,0.366,0.263,0.454,0.309,0.34,0.286,0.282,0.065,0.626
7035,0.419,0.444,0.216,0.103,0.341,0.286,0.273,0.216,0.441,0.471,0.331,0.198,0.361,0.318,0.331,0.153,0.19,0.356,0.351,0.113,0.744
7036,0.33,0.374,0.215,0.105,0.411,0.288,0.264,0.215,0.448,0.508,0.275,0.217,0.442,0.28,0.275,0.12,0.154,0.309,0.445,0.126,0.775
7037,0.442,0.479,0.223,0.097,0.298,0.285,0.265,0.223,0.45,0.452,0.316,0.232,0.327,0.353,0.316,0.104,0.199,0.384,0.331,0.119,0.799
7038,0.337,0.378,0.247,0.135,0.375,0.277,0.266,0.247,0.457,0.472,0.322,0.206,0.401,0.3,0.322,0.135,0.142,0.333,0.378,0.15,0.73
7039,0.356,0.421,0.215,0.109,0.363,0.286,0.315,0.215,0.4,0.504,0.269,0.228,0.419,0.339,0.269,0.092,0.162,0.351,0.392,0.123,0.799
7040,0.377,0.419,0.243,0.119,0.337,0.315,0.275,0.243,0.409,0.459,0.328,0.213,0.365,0.335,0.328,0.154,0.151,0.365,0.337,0.146,0.727
7041,0.368,0.4,0.236,0.114,0.364,0.255,0.25,0.236,0.495,0.486,0.305,0.209,0.395,0.264,0.305,0.086,0.2,0.309,0.432,0.127,0.8
7042,0.371,0.424,0.244,0.107,0.332,0.246,0.285,0.244,0.469,0.45,0.317,0.233,0.379,0.313,0.317,0.133,0.191,0.358,0.37,0.118,0.76
7043,0.313,0.405,0.216,0.084,0.379,0.256,0.366,0.216,0.379,0.396,0.269,0.335,0.471,0.242,0.269,0.075,0.238,0.278,0.489,0.106,0.841
7044,0.371,0.429,0.236,0.117,0.335,0.315,0.259,0.236,0.426,0.457,0.31,0.234,0.386,0.312,0.31,0.155,0.183,0.338,0.378,0.145,0.728
7045,0.368,0.438,0.24,0.112,0.322,0.28,0.299,0.24,0.421,0.388,0.349,0.263,0.368,0.276,0.349,0.158,0.22,0.326,0.375,0.132,0.73
7046,0.317,0.405,0.198,0.085,0.397,0.339,0.299,0.198,0.362,0.365,0.241,0.394,0.463,0.307,0.241,0.098,0.177,0.325,0.452,0.101,0.817
7047,0.331,0.395,0.235,0.068,0.37,0.356,0.267,0.235,0.377,0.601,0.171,0.228,0.42,0.377,0.171,0.05,0.128,0.409,0.452,0.093,0.883
7048,0.379,0.422,0.243,0.117,0.335,0.286,0.316,0.243,0.398,0.439,0.34,0.221,0.373,0.301,0.34,0.142,0.196,0.336,0.36,0.133,0.741
7049,0.397,0.448,0.205,0.075,0.347,0.3,0.284,0.205,0.416,0.51,0.248,0.243,0.396,0.361,0.248,0.086,0.184,0.386,0.391,0.083,0.839
7050,0.343,0.414,0.263,0.085,0.323,0.3,0.275,0.263,0.425,0.439,0.266,0.295,0.368,0.3,0.266,0.093,0.195,0.34,0.433,0.142,0.822
7051,0.397,0.431,0.345,0.103,0.224,0.379,0.172,0.345,0.448,0.552,0.207,0.241,0.259,0.483,0.207,0.052,0.121,0.534,0.31,0.121,0.845
7052,0.387,0.452,0.249,0.13,0.299,0.282,0.271,0.249,0.446,0.441,0.35,0.209,0.353,0.325,0.35,0.158,0.209,0.347,0.325,0.144,0.712
7053,0.375,0.42,0.221,0.127,0.359,0.282,0.299,0.221,0.42,0.413,0.365,0.221,0.398,0.274,0.365,0.147,0.206,0.297,0.361,0.138,0.726
7054,0.374,0.42,0.222,0.126,0.358,0.28,0.302,0.222,0.418,0.414,0.365,0.222,0.398,0.274,0.365,0.146,0.208,0.297,0.362,0.137,0.728
7055,0.436,0.486,0.209,0.084,0.305,0.271,0.272,0.209,0.457,0.447,0.317,0.236,0.345,0.33,0.317,0.116,0.23,0.356,0.353,0.109,0.8
7056,0.375,0.453,0.231,0.068,0.316,0.283,0.293,0.231,0.423,0.42,0.28,0.3,0.394,0.313,0.28,0.121,0.208,0.368,0.407,0.107,0.811
7057,0.393,0.407,0.262,0.131,0.331,0.303,0.276,0.262,0.421,0.421,0.414,0.166,0.345,0.317,0.414,0.193,0.186,0.338,0.269,0.145,0.676
7058,0.373,0.425,0.238,0.091,0.337,0.298,0.282,0.238,0.42,0.45,0.315,0.235,0.378,0.323,0.315,0.157,0.193,0.348,0.362,0.122,0.751
7059,0.37,0.423,0.228,0.086,0.348,0.284,0.306,0.228,0.409,0.448,0.298,0.253,0.39,0.298,0.298,0.12,0.195,0.334,0.404,0.123,0.794
7060,0.349,0.418,0.233,0.098,0.349,0.248,0.329,0.233,0.423,0.445,0.304,0.251,0.416,0.289,0.304,0.081,0.224,0.322,0.407,0.105,0.821
7061,0.358,0.421,0.275,0.105,0.305,0.311,0.298,0.275,0.391,0.403,0.321,0.276,0.354,0.286,0.321,0.113,0.217,0.346,0.393,0.133,0.781
7062,0.298,0.343,0.232,0.133,0.425,0.265,0.298,0.232,0.436,0.492,0.315,0.193,0.453,0.276,0.315,0.105,0.138,0.287,0.409,0.149,0.762
7063,0.407,0.441,0.211,0.104,0.348,0.315,0.267,0.211,0.419,0.478,0.331,0.191,0.371,0.343,0.331,0.129,0.174,0.368,0.326,0.11,0.767
7064,0.351,0.386,0.294,0.132,0.321,0.318,0.251,0.294,0.43,0.4,0.346,0.254,0.348,0.303,0.346,0.147,0.179,0.351,0.351,0.149,0.721
7065,0.362,0.411,0.286,0.142,0.303,0.258,0.298,0.286,0.444,0.385,0.383,0.232,0.348,0.281,0.383,0.121,0.215,0.324,0.336,0.158,0.738
7066,0.418,0.461,0.239,0.102,0.3,0.292,0.247,0.239,0.461,0.466,0.314,0.22,0.338,0.316,0.314,0.129,0.196,0.354,0.37,0.15,0.769
7067,0.371,0.426,0.236,0.104,0.337,0.282,0.313,0.236,0.405,0.433,0.325,0.242,0.387,0.291,0.325,0.138,0.206,0.325,0.383,0.132,0.758
7068,0.384,0.418,0.267,0.136,0.315,0.31,0.253,0.267,0.438,0.474,0.321,0.205,0.344,0.33,0.321,0.139,0.156,0.381,0.349,0.148,0.724
7069,0.323,0.376,0.316,0.113,0.308,0.316,0.248,0.316,0.436,0.429,0.316,0.256,0.346,0.331,0.316,0.15,0.15,0.383,0.353,0.158,0.737
7070,0.376,0.388,0.212,0.082,0.4,0.306,0.347,0.212,0.347,0.447,0.365,0.188,0.406,0.294,0.365,0.182,0.171,0.341,0.341,0.088,0.735
7071,0.367,0.405,0.302,0.125,0.293,0.307,0.31,0.302,0.384,0.405,0.362,0.233,0.33,0.293,0.362,0.131,0.193,0.369,0.344,0.144,0.744
7072,0.392,0.461,0.219,0.075,0.32,0.382,0.307,0.219,0.31,0.42,0.27,0.31,0.389,0.32,0.27,0.11,0.219,0.373,0.411,0.088,0.815
7073,0.302,0.337,0.219,0.115,0.444,0.267,0.295,0.219,0.438,0.549,0.278,0.174,0.469,0.278,0.278,0.115,0.128,0.302,0.444,0.125,0.771
7074,0.233,0.336,0.224,0.086,0.44,0.198,0.328,0.224,0.474,0.457,0.267,0.276,0.474,0.276,0.267,0.129,0.129,0.276,0.457,0.155,0.784
7075,0.36,0.423,0.258,0.117,0.319,0.286,0.284,0.258,0.431,0.432,0.321,0.247,0.374,0.292,0.321,0.139,0.192,0.335,0.387,0.155,0.744
7076,0.385,0.42,0.28,0.112,0.301,0.343,0.273,0.28,0.385,0.455,0.329,0.217,0.315,0.364,0.329,0.147,0.182,0.392,0.308,0.126,0.741
7077,0.41,0.433,0.191,0.082,0.375,0.324,0.273,0.191,0.403,0.471,0.276,0.253,0.399,0.29,0.276,0.068,0.195,0.321,0.433,0.109,0.85
7078,0.43,0.469,0.205,0.103,0.327,0.267,0.266,0.205,0.467,0.444,0.355,0.201,0.36,0.318,0.355,0.163,0.215,0.344,0.327,0.114,0.734
7079,0.298,0.319,0.198,0.063,0.483,0.292,0.377,0.198,0.331,0.471,0.273,0.256,0.504,0.246,0.273,0.108,0.15,0.285,0.481,0.081,0.829
7080,0.407,0.443,0.26,0.113,0.297,0.315,0.291,0.26,0.394,0.396,0.349,0.255,0.327,0.315,0.349,0.122,0.216,0.358,0.336,0.129,0.765
7081,0.389,0.433,0.231,0.101,0.337,0.279,0.26,0.231,0.462,0.433,0.337,0.231,0.38,0.293,0.337,0.144,0.226,0.322,0.37,0.115,0.755
7082,0.361,0.414,0.245,0.121,0.341,0.222,0.258,0.245,0.52,0.472,0.321,0.207,0.381,0.288,0.321,0.124,0.192,0.313,0.391,0.154,0.755
7083,0.356,0.429,0.258,0.084,0.313,0.327,0.309,0.258,0.364,0.385,0.298,0.316,0.375,0.287,0.298,0.138,0.222,0.36,0.415,0.105,0.778
7084,0.479,0.521,0.212,0.093,0.267,0.301,0.233,0.212,0.466,0.466,0.318,0.216,0.297,0.377,0.318,0.102,0.212,0.407,0.305,0.114,0.805
7085,0.37,0.431,0.252,0.118,0.317,0.301,0.313,0.252,0.386,0.463,0.28,0.256,0.37,0.329,0.28,0.106,0.179,0.362,0.39,0.142,0.776
7086,0.283,0.331,0.266,0.087,0.403,0.294,0.332,0.266,0.374,0.402,0.298,0.301,0.449,0.248,0.298,0.108,0.187,0.307,0.454,0.102,0.805
7087,0.316,0.346,0.221,0.1,0.433,0.277,0.355,0.221,0.368,0.45,0.273,0.277,0.459,0.29,0.273,0.104,0.147,0.303,0.437,0.117,0.797
7088,0.391,0.443,0.234,0.12,0.323,0.277,0.3,0.234,0.423,0.426,0.354,0.22,0.36,0.306,0.354,0.151,0.191,0.331,0.34,0.154,0.729
7089,0.35,0.42,0.276,0.163,0.304,0.226,0.276,0.276,0.498,0.381,0.385,0.233,0.362,0.288,0.385,0.175,0.206,0.315,0.327,0.175,0.661
7090,0.349,0.4,0.285,0.121,0.315,0.289,0.236,0.285,0.475,0.416,0.331,0.253,0.356,0.299,0.331,0.143,0.188,0.335,0.37,0.162,0.735
7091,0.348,0.439,0.273,0.083,0.288,0.28,0.242,0.273,0.477,0.371,0.303,0.326,0.364,0.295,0.303,0.144,0.25,0.326,0.402,0.136,0.773
7092,0.382,0.421,0.224,0.103,0.355,0.286,0.276,0.224,0.438,0.468,0.321,0.212,0.389,0.286,0.321,0.13,0.194,0.34,0.393,0.111,0.767
7093,0.38,0.433,0.259,0.1,0.308,0.268,0.268,0.259,0.464,0.436,0.308,0.255,0.352,0.312,0.308,0.112,0.199,0.349,0.38,0.143,0.788
7094,0.39,0.43,0.226,0.126,0.344,0.264,0.248,0.226,0.488,0.452,0.348,0.2,0.382,0.29,0.348,0.166,0.195,0.315,0.362,0.147,0.708
7095,0.422,0.47,0.289,0.094,0.24,0.286,0.293,0.289,0.422,0.39,0.352,0.258,0.286,0.324,0.352,0.136,0.251,0.38,0.324,0.129,0.77
7096,0.373,0.417,0.246,0.094,0.337,0.251,0.287,0.246,0.461,0.436,0.304,0.26,0.376,0.293,0.304,0.113,0.21,0.337,0.403,0.116,0.793
7097,0.333,0.449,0.23,0.108,0.321,0.304,0.314,0.23,0.382,0.417,0.275,0.309,0.422,0.294,0.275,0.1,0.218,0.331,0.431,0.13,0.792
7098,0.364,0.427,0.225,0.112,0.348,0.312,0.353,0.225,0.334,0.419,0.312,0.268,0.403,0.29,0.312,0.093,0.2,0.334,0.397,0.118,0.795
7099,0.345,0.409,0.269,0.117,0.322,0.31,0.357,0.269,0.333,0.433,0.322,0.246,0.357,0.327,0.322,0.105,0.193,0.345,0.351,0.14,0.778
7100,0.39,0.429,0.212,0.097,0.359,0.263,0.301,0.212,0.436,0.444,0.324,0.232,0.386,0.305,0.324,0.1,0.208,0.317,0.371,0.116,0.803
7101,0.348,0.399,0.209,0.091,0.391,0.304,0.249,0.209,0.447,0.47,0.257,0.273,0.431,0.312,0.257,0.111,0.162,0.328,0.431,0.119,0.798
7102,0.35,0.396,0.378,0.124,0.226,0.382,0.18,0.378,0.438,0.521,0.23,0.249,0.263,0.452,0.23,0.06,0.124,0.479,0.318,0.171,0.816
7103,0.276,0.372,0.19,0.078,0.438,0.227,0.326,0.19,0.448,0.497,0.255,0.247,0.518,0.266,0.255,0.146,0.18,0.292,0.479,0.091,0.776
7104,0.33,0.38,0.221,0.09,0.399,0.249,0.28,0.221,0.47,0.499,0.252,0.249,0.449,0.292,0.252,0.114,0.154,0.321,0.456,0.126,0.796
7105,0.379,0.453,0.295,0.147,0.252,0.279,0.244,0.295,0.477,0.401,0.379,0.22,0.298,0.326,0.379,0.148,0.233,0.354,0.295,0.161,0.705
7106,0.418,0.455,0.241,0.13,0.303,0.254,0.263,0.241,0.483,0.427,0.337,0.235,0.331,0.337,0.337,0.108,0.176,0.359,0.325,0.161,0.762
7107,0.399,0.436,0.27,0.104,0.294,0.307,0.239,0.27,0.454,0.466,0.307,0.227,0.331,0.35,0.307,0.117,0.196,0.368,0.344,0.141,0.779
7108,0.375,0.395,0.237,0.112,0.368,0.237,0.276,0.237,0.487,0.493,0.316,0.191,0.382,0.349,0.316,0.118,0.145,0.362,0.336,0.125,0.77
7109,0.341,0.412,0.183,0.089,0.406,0.247,0.312,0.183,0.44,0.503,0.268,0.229,0.467,0.288,0.268,0.116,0.185,0.306,0.444,0.103,0.795
7110,0.356,0.425,0.228,0.081,0.347,0.3,0.303,0.228,0.397,0.491,0.275,0.234,0.394,0.334,0.275,0.125,0.181,0.356,0.391,0.116,0.794
7111,0.349,0.438,0.223,0.135,0.339,0.22,0.343,0.223,0.437,0.351,0.369,0.28,0.416,0.218,0.369,0.136,0.259,0.237,0.413,0.165,0.728
7112,0.365,0.438,0.241,0.11,0.321,0.304,0.284,0.241,0.411,0.465,0.298,0.237,0.365,0.351,0.298,0.12,0.171,0.365,0.351,0.144,0.769
7113,0.358,0.399,0.182,0.068,0.419,0.189,0.297,0.182,0.514,0.514,0.304,0.182,0.439,0.304,0.304,0.196,0.176,0.324,0.392,0.081,0.736
7114,0.36,0.417,0.216,0.111,0.367,0.279,0.279,0.216,0.442,0.497,0.286,0.216,0.411,0.315,0.286,0.116,0.161,0.345,0.399,0.127,0.773
7115,0.358,0.415,0.216,0.109,0.369,0.281,0.279,0.216,0.44,0.499,0.284,0.216,0.413,0.315,0.284,0.116,0.161,0.345,0.401,0.125,0.775
7116,0.326,0.414,0.178,0.06,0.408,0.265,0.428,0.178,0.307,0.436,0.285,0.279,0.487,0.245,0.285,0.114,0.237,0.284,0.47,0.072,0.826
7117,0.329,0.424,0.212,0.118,0.365,0.329,0.306,0.212,0.365,0.459,0.247,0.294,0.447,0.318,0.247,0.082,0.176,0.329,0.435,0.129,0.8
7118,0.363,0.387,0.173,0.101,0.44,0.266,0.27,0.173,0.464,0.54,0.274,0.185,0.46,0.282,0.274,0.097,0.149,0.306,0.444,0.105,0.802
7119,0.425,0.485,0.245,0.088,0.271,0.299,0.247,0.245,0.454,0.433,0.327,0.24,0.314,0.327,0.327,0.139,0.229,0.371,0.345,0.129,0.773
7120,0.36,0.409,0.253,0.1,0.338,0.287,0.293,0.253,0.42,0.464,0.309,0.227,0.382,0.302,0.309,0.129,0.2,0.349,0.389,0.113,0.771
7121,0.404,0.452,0.229,0.089,0.318,0.281,0.274,0.229,0.445,0.452,0.291,0.257,0.36,0.325,0.291,0.12,0.192,0.363,0.384,0.127,0.791
7122,0.366,0.469,0.247,0.103,0.284,0.227,0.299,0.247,0.474,0.397,0.351,0.253,0.376,0.284,0.351,0.119,0.278,0.309,0.366,0.129,0.778
7123,0.27,0.337,0.196,0.049,0.467,0.319,0.391,0.196,0.29,0.424,0.288,0.288,0.498,0.263,0.288,0.158,0.156,0.31,0.449,0.067,0.792
7124,0.432,0.472,0.232,0.064,0.296,0.296,0.312,0.232,0.392,0.376,0.36,0.264,0.336,0.32,0.36,0.12,0.256,0.368,0.32,0.08,0.816
7125,0.445,0.544,0.132,0.087,0.323,0.206,0.293,0.132,0.501,0.51,0.31,0.18,0.354,0.377,0.31,0.134,0.195,0.384,0.312,0.098,0.779
7126,0.367,0.425,0.292,0.125,0.283,0.275,0.237,0.292,0.487,0.454,0.325,0.221,0.321,0.342,0.325,0.146,0.179,0.375,0.333,0.163,0.729
7127,0.344,0.425,0.282,0.092,0.293,0.282,0.298,0.282,0.42,0.392,0.28,0.328,0.364,0.318,0.28,0.107,0.209,0.359,0.402,0.14,0.802
7128,0.34,0.417,0.21,0.104,0.373,0.245,0.238,0.21,0.517,0.509,0.269,0.222,0.432,0.318,0.269,0.123,0.172,0.328,0.413,0.127,0.774
7129,0.388,0.432,0.192,0.089,0.376,0.227,0.269,0.192,0.505,0.519,0.276,0.206,0.416,0.315,0.276,0.1,0.173,0.332,0.409,0.119,0.811
7130,0.357,0.432,0.261,0.119,0.307,0.278,0.28,0.261,0.441,0.432,0.307,0.261,0.367,0.313,0.307,0.123,0.2,0.351,0.38,0.142,0.758
7131,0.324,0.405,0.25,0.105,0.345,0.25,0.28,0.25,0.47,0.483,0.301,0.216,0.416,0.307,0.301,0.145,0.196,0.334,0.392,0.125,0.75
7132,0.31,0.381,0.284,0.107,0.335,0.312,0.287,0.284,0.401,0.419,0.33,0.251,0.388,0.294,0.33,0.152,0.195,0.332,0.376,0.137,0.741
7133,0.371,0.45,0.263,0.112,0.287,0.287,0.287,0.263,0.427,0.392,0.321,0.287,0.343,0.325,0.321,0.121,0.203,0.373,0.353,0.138,0.767
7134,0.393,0.502,0.193,0.095,0.305,0.262,0.258,0.193,0.48,0.462,0.32,0.218,0.356,0.338,0.32,0.156,0.222,0.364,0.342,0.109,0.749
7135,0.331,0.39,0.219,0.108,0.39,0.237,0.29,0.219,0.473,0.433,0.307,0.261,0.441,0.263,0.307,0.111,0.196,0.291,0.43,0.122,0.781
7136,0.313,0.476,0.332,0.163,0.192,0.284,0.293,0.332,0.423,0.351,0.38,0.269,0.284,0.317,0.38,0.139,0.25,0.361,0.303,0.197,0.697
7137,0.377,0.434,0.231,0.094,0.334,0.243,0.271,0.231,0.486,0.463,0.291,0.246,0.383,0.334,0.291,0.12,0.189,0.349,0.374,0.129,0.786
7138,0.407,0.432,0.255,0.101,0.312,0.333,0.331,0.255,0.335,0.401,0.349,0.25,0.335,0.301,0.349,0.116,0.211,0.364,0.349,0.113,0.783
7139,0.383,0.447,0.226,0.111,0.328,0.264,0.302,0.226,0.434,0.455,0.281,0.264,0.383,0.336,0.281,0.119,0.179,0.366,0.383,0.128,0.77
7140,0.345,0.41,0.257,0.103,0.333,0.271,0.271,0.257,0.457,0.451,0.301,0.248,0.386,0.319,0.301,0.118,0.186,0.345,0.381,0.136,0.779
7141,0.388,0.463,0.27,0.15,0.266,0.274,0.244,0.27,0.482,0.35,0.411,0.24,0.315,0.283,0.411,0.154,0.254,0.317,0.307,0.163,0.695
7142,0.365,0.391,0.215,0.099,0.395,0.288,0.223,0.215,0.489,0.545,0.275,0.18,0.412,0.326,0.275,0.133,0.15,0.335,0.399,0.12,0.768
7143,0.355,0.438,0.24,0.096,0.323,0.288,0.316,0.24,0.396,0.463,0.268,0.268,0.387,0.335,0.268,0.102,0.195,0.371,0.396,0.112,0.802
7144,0.385,0.44,0.185,0.095,0.375,0.231,0.302,0.185,0.468,0.498,0.274,0.228,0.425,0.305,0.274,0.132,0.191,0.326,0.422,0.108,0.772
7145,0.377,0.445,0.242,0.116,0.313,0.263,0.277,0.242,0.461,0.383,0.363,0.254,0.36,0.29,0.363,0.159,0.229,0.319,0.346,0.139,0.724
7146,0.349,0.428,0.162,0.083,0.41,0.253,0.279,0.162,0.467,0.528,0.249,0.223,0.467,0.314,0.249,0.122,0.148,0.332,0.437,0.109,0.795
7147,0.381,0.472,0.231,0.098,0.297,0.266,0.29,0.231,0.444,0.421,0.313,0.266,0.356,0.326,0.313,0.13,0.214,0.36,0.36,0.129,0.772
7148,0.328,0.392,0.232,0.086,0.376,0.259,0.278,0.232,0.463,0.482,0.263,0.255,0.428,0.292,0.263,0.115,0.18,0.317,0.445,0.127,0.8
7149,0.361,0.429,0.205,0.142,0.366,0.191,0.311,0.205,0.497,0.352,0.369,0.279,0.432,0.205,0.369,0.156,0.249,0.219,0.426,0.167,0.702
7150,0.389,0.435,0.238,0.136,0.327,0.343,0.269,0.238,0.389,0.488,0.315,0.198,0.364,0.327,0.315,0.123,0.167,0.364,0.358,0.142,0.741
7151,0.38,0.444,0.296,0.113,0.261,0.324,0.261,0.296,0.415,0.38,0.324,0.296,0.31,0.345,0.324,0.113,0.218,0.387,0.331,0.134,0.775
7152,0.335,0.404,0.293,0.112,0.303,0.367,0.223,0.293,0.41,0.532,0.197,0.271,0.362,0.404,0.197,0.043,0.117,0.436,0.399,0.144,0.846
7153,0.326,0.437,0.215,0.098,0.348,0.229,0.34,0.215,0.431,0.412,0.297,0.291,0.439,0.271,0.297,0.123,0.236,0.295,0.432,0.121,0.779
7154,0.306,0.429,0.217,0.078,0.354,0.242,0.338,0.217,0.42,0.396,0.231,0.373,0.463,0.266,0.231,0.089,0.226,0.298,0.503,0.121,0.834
7155,0.307,0.43,0.217,0.078,0.353,0.244,0.338,0.217,0.418,0.396,0.231,0.373,0.461,0.268,0.231,0.089,0.226,0.3,0.501,0.121,0.834
7156,0.412,0.485,0.247,0.103,0.268,0.299,0.268,0.247,0.433,0.443,0.33,0.227,0.309,0.371,0.33,0.175,0.206,0.392,0.299,0.134,0.722
7157,0.345,0.401,0.247,0.099,0.352,0.296,0.313,0.247,0.391,0.454,0.316,0.23,0.395,0.329,0.316,0.158,0.164,0.365,0.355,0.118,0.743
7158,0.396,0.449,0.251,0.118,0.299,0.305,0.289,0.251,0.406,0.398,0.342,0.259,0.332,0.337,0.342,0.134,0.193,0.377,0.321,0.131,0.749
7159,0.293,0.41,0.261,0.097,0.329,0.275,0.347,0.261,0.378,0.394,0.239,0.367,0.423,0.295,0.239,0.077,0.198,0.324,0.466,0.149,0.827
7160,0.374,0.47,0.246,0.101,0.285,0.31,0.294,0.246,0.396,0.439,0.314,0.248,0.357,0.333,0.314,0.123,0.214,0.365,0.353,0.136,0.776
7161,0.33,0.384,0.233,0.09,0.384,0.243,0.302,0.233,0.455,0.468,0.263,0.269,0.425,0.32,0.263,0.097,0.164,0.33,0.417,0.123,0.813
7162,0.339,0.377,0.233,0.12,0.39,0.277,0.322,0.233,0.401,0.428,0.325,0.247,0.418,0.274,0.325,0.116,0.171,0.308,0.401,0.13,0.764
7163,0.379,0.444,0.23,0.121,0.327,0.29,0.246,0.23,0.464,0.46,0.319,0.222,0.375,0.327,0.319,0.149,0.185,0.351,0.355,0.137,0.73
7164,0.366,0.407,0.213,0.102,0.38,0.31,0.231,0.213,0.458,0.537,0.296,0.167,0.403,0.343,0.296,0.134,0.144,0.361,0.361,0.116,0.764
7165,0.383,0.445,0.187,0.091,0.368,0.225,0.292,0.187,0.483,0.512,0.273,0.215,0.421,0.321,0.273,0.124,0.187,0.335,0.407,0.11,0.785
7166,0.397,0.417,0.166,0.089,0.417,0.255,0.283,0.166,0.462,0.547,0.267,0.186,0.437,0.308,0.267,0.093,0.162,0.324,0.425,0.097,0.818
7167,0.326,0.416,0.25,0.093,0.334,0.313,0.34,0.25,0.347,0.395,0.302,0.304,0.391,0.309,0.302,0.125,0.195,0.347,0.389,0.123,0.782
