ID,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_TN,PCP_SM,PCP_LR
Seq_8148,0.131,0.106,0.763,0.233,0.491,0.416,0.045,0.067,0.106,0.131,0.763,0.502,0.216,0.366,0.175,0.039,0.269,0.55,0.45
Seq_8149,0.108,0.132,0.76,0.169,0.578,0.521,0.065,0.057,0.132,0.108,0.76,0.539,0.186,0.378,0.114,0.022,0.317,0.593,0.407
Seq_8150,0.089,0.055,0.856,0.165,0.66,0.495,0.065,0.168,0.055,0.089,0.856,0.581,0.186,0.282,0.079,0.041,0.213,0.44,0.56
Seq_8151,0.108,0.183,0.71,0.172,0.516,0.441,0.032,0.075,0.183,0.108,0.71,0.581,0.161,0.376,0.129,0.022,0.215,0.516,0.484
Seq_8152,0.15,0.158,0.692,0.204,0.447,0.399,0.044,0.054,0.158,0.15,0.692,0.416,0.235,0.41,0.125,0.031,0.224,0.522,0.478
Seq_8153,0.115,0.15,0.735,0.189,0.509,0.409,0.052,0.125,0.15,0.115,0.735,0.499,0.204,0.374,0.116,0.023,0.222,0.539,0.461
Seq_8154,0.109,0.087,0.803,0.157,0.607,0.545,0.05,0.045,0.087,0.109,0.803,0.542,0.199,0.373,0.122,0.027,0.303,0.609,0.391
Seq_8155,0.125,0.089,0.786,0.357,0.375,0.357,0.036,0.036,0.089,0.125,0.786,0.482,0.214,0.393,0.161,0.179,0.446,0.714,0.286
Seq_8156,0.13,0.13,0.74,0.186,0.492,0.414,0.031,0.099,0.13,0.13,0.74,0.489,0.224,0.33,0.099,0.043,0.248,0.511,0.489
Seq_8157,0.142,0.148,0.71,0.179,0.519,0.469,0.071,0.065,0.148,0.142,0.71,0.534,0.225,0.352,0.123,0.031,0.262,0.565,0.435
Seq_8158,0.18,0.135,0.685,0.242,0.427,0.354,0.045,0.09,0.135,0.18,0.685,0.455,0.242,0.382,0.157,0.022,0.185,0.427,0.573
Seq_8159,0.099,0.106,0.795,0.167,0.58,0.509,0.02,0.078,0.106,0.099,0.795,0.553,0.167,0.307,0.106,0.034,0.276,0.577,0.423
Seq_8160,0.138,0.14,0.722,0.159,0.539,0.459,0.063,0.077,0.14,0.138,0.722,0.522,0.225,0.36,0.116,0.024,0.234,0.524,0.476
Seq_8161,0.147,0.147,0.706,0.198,0.475,0.412,0.04,0.045,0.147,0.147,0.706,0.503,0.22,0.367,0.136,0.051,0.181,0.514,0.486
Seq_8162,0.107,0.181,0.712,0.13,0.531,0.424,0.006,0.096,0.181,0.107,0.712,0.48,0.164,0.407,0.085,0.023,0.282,0.525,0.475
Seq_8163,0.149,0.153,0.698,0.172,0.493,0.423,0.019,0.088,0.153,0.149,0.698,0.47,0.2,0.353,0.093,0.019,0.237,0.465,0.535
Seq_8164,0.135,0.122,0.743,0.199,0.481,0.384,0.05,0.124,0.122,0.135,0.743,0.45,0.249,0.359,0.124,0.019,0.254,0.528,0.472
Seq_8165,0.135,0.122,0.743,0.202,0.478,0.381,0.05,0.124,0.122,0.135,0.743,0.45,0.249,0.362,0.127,0.019,0.254,0.53,0.47
Seq_8166,0.112,0.11,0.779,0.186,0.569,0.457,0.054,0.082,0.11,0.112,0.779,0.566,0.189,0.329,0.093,0.075,0.261,0.501,0.499
Seq_8167,0.171,0.173,0.656,0.171,0.446,0.368,0.028,0.083,0.173,0.171,0.656,0.409,0.239,0.385,0.088,0.05,0.241,0.444,0.556
Seq_8168,0.106,0.148,0.746,0.271,0.433,0.369,0.043,0.072,0.148,0.106,0.746,0.469,0.191,0.415,0.165,0.03,0.233,0.495,0.505
Seq_8169,0.137,0.121,0.742,0.18,0.522,0.448,0.042,0.065,0.121,0.137,0.742,0.497,0.218,0.366,0.111,0.04,0.243,0.516,0.484
Seq_8170,0.143,0.165,0.693,0.26,0.417,0.363,0.06,0.066,0.165,0.143,0.693,0.454,0.218,0.443,0.177,0.026,0.24,0.501,0.499
Seq_8171,0.123,0.133,0.745,0.202,0.511,0.429,0.072,0.077,0.133,0.123,0.745,0.518,0.227,0.354,0.106,0.046,0.212,0.475,0.525
Seq_8172,0.112,0.137,0.751,0.212,0.51,0.448,0.05,0.071,0.137,0.112,0.751,0.519,0.191,0.394,0.162,0.021,0.27,0.544,0.456
Seq_8173,0.165,0.13,0.706,0.19,0.487,0.402,0.051,0.098,0.13,0.165,0.706,0.491,0.244,0.323,0.095,0.032,0.187,0.427,0.573
Seq_8174,0.132,0.125,0.743,0.188,0.547,0.492,0.079,0.101,0.125,0.132,0.743,0.51,0.219,0.356,0.105,0.016,0.269,0.575,0.425
Seq_8175,0.134,0.153,0.713,0.235,0.453,0.342,0.036,0.121,0.153,0.134,0.713,0.524,0.195,0.355,0.134,0.059,0.195,0.505,0.495
Seq_8176,0.125,0.133,0.742,0.143,0.58,0.521,0.069,0.049,0.133,0.125,0.742,0.587,0.214,0.332,0.115,0.022,0.246,0.563,0.437
Seq_8177,0.154,0.115,0.731,0.209,0.47,0.376,0.057,0.115,0.115,0.154,0.731,0.491,0.264,0.332,0.123,0.029,0.185,0.491,0.509
Seq_8178,0.128,0.128,0.743,0.194,0.5,0.408,0.056,0.095,0.128,0.128,0.743,0.516,0.234,0.316,0.102,0.036,0.188,0.474,0.526
Seq_8179,0.146,0.108,0.747,0.209,0.466,0.363,0.047,0.131,0.108,0.146,0.747,0.464,0.264,0.32,0.111,0.021,0.193,0.481,0.519
Seq_8180,0.116,0.113,0.772,0.199,0.509,0.454,0.055,0.09,0.113,0.116,0.772,0.474,0.234,0.35,0.113,0.009,0.257,0.543,0.457
Seq_8181,0.123,0.123,0.754,0.191,0.531,0.443,0.042,0.097,0.123,0.123,0.754,0.492,0.197,0.366,0.113,0.036,0.262,0.518,0.482
Seq_8182,0.125,0.114,0.761,0.185,0.527,0.446,0.038,0.09,0.114,0.125,0.761,0.508,0.212,0.326,0.106,0.043,0.231,0.481,0.519
Seq_8183,0.141,0.129,0.73,0.194,0.464,0.379,0.047,0.078,0.129,0.141,0.73,0.498,0.26,0.323,0.11,0.044,0.157,0.451,0.549
Seq_8184,0.1,0.093,0.808,0.189,0.605,0.577,0.038,0.031,0.093,0.1,0.808,0.574,0.151,0.375,0.107,0.027,0.347,0.581,0.419
Seq_8185,0.106,0.112,0.783,0.188,0.547,0.491,0.041,0.048,0.112,0.106,0.783,0.545,0.195,0.34,0.116,0.035,0.269,0.534,0.466
Seq_8186,0.097,0.115,0.788,0.15,0.611,0.531,0.062,0.058,0.115,0.097,0.788,0.588,0.186,0.323,0.093,0.058,0.296,0.544,0.456
Seq_8187,0.062,0.147,0.791,0.298,0.48,0.432,0.08,0.064,0.147,0.062,0.791,0.468,0.156,0.529,0.228,0.021,0.329,0.638,0.362
Seq_8188,0.128,0.116,0.756,0.189,0.539,0.466,0.045,0.065,0.116,0.128,0.756,0.496,0.202,0.37,0.103,0.05,0.28,0.499,0.501
Seq_8189,0.151,0.132,0.717,0.195,0.495,0.441,0.046,0.059,0.132,0.151,0.717,0.51,0.223,0.362,0.134,0.026,0.226,0.544,0.456
Seq_8190,0.124,0.147,0.728,0.194,0.507,0.387,0.041,0.111,0.147,0.124,0.728,0.502,0.194,0.369,0.143,0.051,0.244,0.493,0.507
Seq_8191,0.167,0.097,0.736,0.181,0.549,0.451,0.049,0.076,0.097,0.167,0.736,0.542,0.222,0.319,0.146,0.049,0.278,0.549,0.451
Seq_8192,0.134,0.119,0.747,0.193,0.521,0.449,0.036,0.062,0.119,0.134,0.747,0.503,0.202,0.351,0.128,0.039,0.265,0.497,0.503
Seq_8193,0.125,0.128,0.747,0.214,0.485,0.408,0.03,0.083,0.128,0.125,0.747,0.47,0.202,0.369,0.119,0.042,0.217,0.473,0.527
Seq_8194,0.119,0.119,0.763,0.162,0.564,0.509,0.057,0.043,0.119,0.119,0.763,0.537,0.212,0.34,0.098,0.046,0.265,0.555,0.445
Seq_8195,0.121,0.124,0.755,0.19,0.532,0.439,0.074,0.095,0.124,0.121,0.755,0.53,0.228,0.337,0.097,0.038,0.228,0.513,0.487
Seq_8196,0.134,0.134,0.731,0.192,0.525,0.463,0.065,0.067,0.134,0.134,0.731,0.521,0.213,0.377,0.123,0.03,0.215,0.516,0.484
Seq_8197,0.13,0.108,0.762,0.212,0.502,0.442,0.069,0.069,0.108,0.13,0.762,0.545,0.247,0.32,0.134,0.035,0.225,0.532,0.468
Seq_8198,0.162,0.103,0.735,0.276,0.411,0.335,0.065,0.081,0.103,0.162,0.735,0.465,0.276,0.384,0.168,0.043,0.173,0.492,0.508
Seq_8199,0.197,0.19,0.613,0.197,0.394,0.345,0.014,0.085,0.19,0.197,0.613,0.38,0.232,0.373,0.092,0.028,0.141,0.352,0.648
Seq_8200,0.117,0.135,0.749,0.175,0.534,0.484,0.031,0.063,0.135,0.117,0.749,0.48,0.188,0.377,0.108,0.027,0.269,0.516,0.484
Seq_8201,0.121,0.117,0.762,0.175,0.558,0.48,0.046,0.081,0.117,0.121,0.762,0.552,0.196,0.353,0.123,0.026,0.292,0.585,0.415
Seq_8202,0.104,0.142,0.754,0.199,0.517,0.431,0.047,0.066,0.142,0.104,0.754,0.512,0.19,0.365,0.114,0.052,0.213,0.507,0.493
Seq_8203,0.127,0.116,0.757,0.214,0.497,0.422,0.052,0.064,0.116,0.127,0.757,0.52,0.225,0.364,0.127,0.035,0.214,0.514,0.486
Seq_8204,0.125,0.137,0.737,0.152,0.564,0.504,0.08,0.067,0.137,0.125,0.737,0.547,0.227,0.337,0.082,0.019,0.248,0.545,0.455
Seq_8205,0.115,0.142,0.743,0.182,0.523,0.454,0.053,0.083,0.142,0.115,0.743,0.518,0.207,0.352,0.104,0.017,0.234,0.523,0.477
Seq_8206,0.133,0.152,0.715,0.218,0.43,0.315,0.067,0.139,0.152,0.133,0.715,0.455,0.267,0.339,0.115,0.067,0.145,0.448,0.552
Seq_8207,0.123,0.157,0.719,0.2,0.46,0.357,0.043,0.106,0.157,0.123,0.719,0.481,0.226,0.34,0.102,0.068,0.196,0.451,0.549
Seq_8208,0.101,0.146,0.753,0.129,0.618,0.528,0.028,0.067,0.146,0.101,0.753,0.539,0.135,0.371,0.079,0.051,0.337,0.573,0.427
Seq_8209,0.108,0.113,0.779,0.226,0.529,0.457,0.046,0.082,0.113,0.108,0.779,0.541,0.178,0.363,0.123,0.038,0.255,0.522,0.478
Seq_8210,0.12,0.14,0.74,0.197,0.517,0.406,0.043,0.126,0.14,0.12,0.74,0.517,0.189,0.354,0.106,0.037,0.234,0.489,0.511
Seq_8211,0.116,0.13,0.755,0.194,0.523,0.44,0.046,0.079,0.13,0.116,0.755,0.565,0.199,0.352,0.148,0.023,0.259,0.551,0.449
Seq_8212,0.145,0.123,0.732,0.212,0.466,0.37,0.062,0.105,0.123,0.145,0.732,0.458,0.26,0.357,0.11,0.062,0.244,0.509,0.491
Seq_8213,0.079,0.081,0.84,0.173,0.63,0.511,0.03,0.108,0.081,0.079,0.84,0.592,0.146,0.339,0.131,0.029,0.286,0.521,0.479
Seq_8214,0.084,0.101,0.816,0.26,0.523,0.459,0.084,0.047,0.101,0.084,0.816,0.489,0.199,0.44,0.177,0.042,0.342,0.602,0.398
Seq_8215,0.138,0.161,0.702,0.193,0.5,0.408,0.046,0.106,0.161,0.138,0.702,0.495,0.193,0.385,0.124,0.023,0.257,0.532,0.468
Seq_8216,0.152,0.132,0.716,0.223,0.445,0.365,0.058,0.126,0.132,0.152,0.716,0.458,0.258,0.329,0.119,0.035,0.165,0.423,0.577
Seq_8217,0.135,0.123,0.743,0.177,0.515,0.416,0.057,0.126,0.123,0.135,0.743,0.497,0.243,0.332,0.105,0.027,0.219,0.53,0.47
Seq_8218,0.143,0.105,0.752,0.203,0.534,0.481,0.038,0.06,0.105,0.143,0.752,0.534,0.195,0.376,0.143,0.015,0.278,0.617,0.383
Seq_8219,0.136,0.149,0.715,0.186,0.472,0.364,0.053,0.15,0.149,0.136,0.715,0.445,0.246,0.332,0.088,0.032,0.176,0.449,0.551
Seq_8220,0.132,0.149,0.72,0.166,0.507,0.432,0.037,0.068,0.149,0.132,0.72,0.497,0.216,0.365,0.101,0.044,0.223,0.52,0.48
Seq_8221,0.075,0.067,0.858,0.192,0.6,0.464,0.042,0.142,0.067,0.075,0.858,0.569,0.183,0.294,0.117,0.047,0.281,0.517,0.483
Seq_8222,0.072,0.067,0.861,0.194,0.6,0.464,0.044,0.142,0.067,0.072,0.861,0.572,0.183,0.297,0.119,0.047,0.278,0.519,0.481
Seq_8223,0.167,0.124,0.71,0.2,0.5,0.462,0.043,0.048,0.124,0.167,0.71,0.524,0.219,0.371,0.143,0.019,0.257,0.557,0.443
Seq_8224,0.088,0.078,0.834,0.218,0.596,0.539,0.078,0.062,0.078,0.088,0.834,0.611,0.187,0.332,0.14,0.021,0.269,0.57,0.43
Seq_8225,0.172,0.18,0.648,0.205,0.404,0.331,0.019,0.066,0.18,0.172,0.648,0.426,0.231,0.391,0.113,0.033,0.183,0.403,0.597
Seq_8226,0.153,0.144,0.703,0.114,0.575,0.511,0.055,0.057,0.144,0.153,0.703,0.532,0.221,0.32,0.071,0.025,0.251,0.505,0.495
Seq_8227,0.137,0.148,0.715,0.163,0.518,0.461,0.023,0.055,0.148,0.137,0.715,0.486,0.195,0.376,0.131,0.025,0.243,0.499,0.501
Seq_8228,0.094,0.115,0.79,0.206,0.552,0.437,0.066,0.112,0.115,0.094,0.79,0.51,0.192,0.378,0.115,0.042,0.255,0.517,0.483
Seq_8229,0.118,0.122,0.76,0.153,0.603,0.568,0.092,0.052,0.122,0.118,0.76,0.603,0.214,0.328,0.105,0.022,0.284,0.638,0.362
Seq_8230,0.132,0.147,0.722,0.168,0.509,0.428,0.039,0.093,0.147,0.132,0.722,0.455,0.216,0.371,0.081,0.027,0.216,0.491,0.509
Seq_8231,0.09,0.098,0.812,0.247,0.507,0.444,0.05,0.092,0.098,0.09,0.812,0.492,0.198,0.375,0.153,0.034,0.295,0.622,0.378
Seq_8232,0.101,0.101,0.797,0.136,0.633,0.535,0.042,0.052,0.101,0.101,0.797,0.563,0.171,0.35,0.08,0.073,0.35,0.58,0.42
Seq_8233,0.116,0.098,0.786,0.254,0.499,0.403,0.065,0.095,0.098,0.116,0.786,0.512,0.214,0.363,0.129,0.055,0.222,0.48,0.52
Seq_8234,0.158,0.132,0.71,0.193,0.473,0.382,0.043,0.104,0.132,0.158,0.71,0.455,0.244,0.349,0.097,0.036,0.186,0.443,0.557
Seq_8235,0.161,0.134,0.704,0.177,0.478,0.398,0.038,0.091,0.134,0.161,0.704,0.484,0.247,0.339,0.097,0.038,0.194,0.441,0.559
Seq_8236,0.12,0.216,0.664,0.095,0.541,0.445,0.057,0.057,0.216,0.12,0.664,0.523,0.205,0.329,0.053,0.071,0.216,0.498,0.502
Seq_8237,0.119,0.101,0.78,0.241,0.482,0.399,0.058,0.091,0.101,0.119,0.78,0.5,0.235,0.354,0.146,0.034,0.223,0.509,0.491
Seq_8238,0.132,0.138,0.731,0.134,0.57,0.49,0.056,0.107,0.138,0.132,0.731,0.523,0.215,0.322,0.074,0.014,0.244,0.504,0.496
Seq_8239,0.117,0.149,0.734,0.14,0.576,0.513,0.052,0.057,0.149,0.117,0.734,0.564,0.186,0.355,0.103,0.017,0.272,0.55,0.45
Seq_8240,0.143,0.129,0.729,0.207,0.461,0.393,0.039,0.089,0.129,0.143,0.729,0.489,0.243,0.318,0.111,0.039,0.175,0.454,0.546
Seq_8241,0.143,0.12,0.736,0.211,0.476,0.41,0.045,0.072,0.12,0.143,0.736,0.485,0.238,0.341,0.12,0.045,0.224,0.494,0.506
Seq_8242,0.182,0.208,0.609,0.211,0.364,0.296,0.044,0.082,0.208,0.182,0.609,0.41,0.259,0.386,0.122,0.047,0.184,0.477,0.523
Seq_8243,0.128,0.115,0.758,0.163,0.586,0.511,0.084,0.075,0.115,0.128,0.758,0.595,0.22,0.326,0.123,0.035,0.256,0.564,0.436
Seq_8244,0.111,0.107,0.782,0.188,0.582,0.536,0.065,0.054,0.107,0.111,0.782,0.582,0.188,0.337,0.126,0.031,0.303,0.575,0.425
Seq_8245,0.12,0.152,0.728,0.192,0.496,0.424,0.064,0.096,0.152,0.12,0.728,0.492,0.224,0.356,0.108,0.036,0.184,0.452,0.548
Seq_8246,0.119,0.115,0.765,0.241,0.449,0.374,0.039,0.093,0.115,0.119,0.765,0.447,0.235,0.374,0.121,0.027,0.204,0.467,0.533
Seq_8247,0.135,0.067,0.798,0.264,0.485,0.417,0.067,0.055,0.067,0.135,0.798,0.521,0.252,0.337,0.147,0.067,0.227,0.534,0.466
Seq_8248,0.106,0.163,0.731,0.202,0.5,0.452,0.029,0.058,0.163,0.106,0.731,0.519,0.163,0.375,0.106,0.067,0.231,0.51,0.49
Seq_8249,0.128,0.13,0.742,0.146,0.574,0.519,0.051,0.059,0.13,0.128,0.742,0.521,0.199,0.343,0.109,0.027,0.285,0.556,0.444
Seq_8250,0.123,0.11,0.766,0.195,0.517,0.452,0.039,0.037,0.11,0.123,0.766,0.539,0.216,0.355,0.132,0.061,0.255,0.545,0.455
Seq_8251,0.133,0.126,0.741,0.186,0.522,0.44,0.06,0.081,0.126,0.133,0.741,0.516,0.226,0.347,0.119,0.034,0.238,0.521,0.479
Seq_8252,0.125,0.101,0.774,0.207,0.552,0.457,0.055,0.082,0.101,0.125,0.774,0.524,0.195,0.369,0.128,0.04,0.314,0.546,0.454
Seq_8253,0.14,0.099,0.76,0.182,0.554,0.504,0.041,0.066,0.099,0.14,0.76,0.554,0.207,0.306,0.116,0.017,0.256,0.488,0.512
Seq_8254,0.113,0.116,0.771,0.233,0.519,0.479,0.125,0.063,0.116,0.113,0.771,0.501,0.256,0.388,0.13,0.015,0.24,0.586,0.414
Seq_8255,0.152,0.14,0.708,0.198,0.477,0.403,0.058,0.091,0.14,0.152,0.708,0.453,0.243,0.354,0.115,0.025,0.206,0.469,0.531
Seq_8256,0.151,0.061,0.788,0.232,0.492,0.415,0.042,0.077,0.061,0.151,0.788,0.505,0.257,0.322,0.125,0.029,0.206,0.492,0.508
Seq_8257,0.121,0.096,0.783,0.155,0.608,0.495,0.071,0.102,0.096,0.121,0.783,0.6,0.212,0.283,0.091,0.041,0.235,0.49,0.51
Seq_8258,0.142,0.115,0.743,0.186,0.516,0.454,0.029,0.068,0.115,0.142,0.743,0.531,0.212,0.333,0.118,0.027,0.236,0.552,0.448
Seq_8259,0.124,0.124,0.753,0.186,0.54,0.462,0.056,0.093,0.124,0.124,0.753,0.524,0.206,0.351,0.087,0.023,0.229,0.466,0.534
Seq_8260,0.137,0.164,0.699,0.151,0.507,0.425,0.014,0.027,0.164,0.137,0.699,0.452,0.192,0.397,0.096,0.055,0.205,0.466,0.534
Seq_8261,0.157,0.142,0.701,0.18,0.49,0.429,0.05,0.061,0.142,0.157,0.701,0.494,0.238,0.368,0.103,0.05,0.199,0.475,0.525
Seq_8262,0.139,0.124,0.736,0.167,0.565,0.493,0.055,0.075,0.124,0.139,0.736,0.552,0.199,0.348,0.114,0.032,0.281,0.545,0.455
Seq_8263,0.11,0.118,0.772,0.168,0.592,0.538,0.056,0.053,0.118,0.11,0.772,0.536,0.178,0.376,0.112,0.021,0.317,0.591,0.409
Seq_8264,0.12,0.123,0.757,0.193,0.532,0.489,0.056,0.064,0.123,0.12,0.757,0.543,0.209,0.324,0.094,0.035,0.273,0.607,0.393
Seq_8265,0.132,0.139,0.73,0.212,0.489,0.404,0.043,0.096,0.139,0.132,0.73,0.498,0.203,0.37,0.117,0.036,0.21,0.466,0.534
Seq_8266,0.114,0.12,0.766,0.241,0.426,0.346,0.037,0.118,0.12,0.114,0.766,0.449,0.25,0.342,0.147,0.022,0.166,0.48,0.52
Seq_8267,0.111,0.118,0.77,0.237,0.434,0.345,0.038,0.12,0.118,0.111,0.77,0.457,0.249,0.345,0.15,0.025,0.169,0.491,0.509
Seq_8268,0.114,0.129,0.757,0.176,0.543,0.452,0.057,0.095,0.129,0.114,0.757,0.538,0.21,0.333,0.076,0.052,0.252,0.543,0.457
Seq_8269,0.103,0.073,0.824,0.202,0.585,0.516,0.042,0.074,0.073,0.103,0.824,0.562,0.182,0.349,0.142,0.017,0.264,0.543,0.457
Seq_8270,0.143,0.102,0.754,0.256,0.425,0.361,0.045,0.106,0.102,0.143,0.754,0.496,0.261,0.306,0.135,0.042,0.158,0.464,0.536
Seq_8271,0.164,0.164,0.672,0.174,0.467,0.415,0.031,0.103,0.164,0.164,0.672,0.467,0.226,0.313,0.077,0.021,0.19,0.446,0.554
Seq_8272,0.202,0.069,0.73,0.24,0.425,0.33,0.082,0.142,0.069,0.202,0.73,0.455,0.348,0.292,0.137,0.021,0.142,0.476,0.524
Seq_8273,0.137,0.086,0.777,0.208,0.543,0.503,0.051,0.056,0.086,0.137,0.777,0.533,0.213,0.325,0.147,0.015,0.305,0.569,0.431
Seq_8274,0.106,0.097,0.797,0.17,0.581,0.516,0.048,0.07,0.097,0.106,0.797,0.559,0.201,0.317,0.09,0.041,0.312,0.584,0.416
Seq_8275,0.168,0.111,0.722,0.213,0.46,0.384,0.065,0.102,0.111,0.168,0.722,0.466,0.281,0.341,0.097,0.06,0.227,0.52,0.48
Seq_8276,0.14,0.1,0.76,0.167,0.54,0.46,0.02,0.073,0.1,0.14,0.76,0.533,0.213,0.3,0.113,0.047,0.28,0.567,0.433
Seq_8277,0.1,0.12,0.781,0.224,0.506,0.457,0.07,0.067,0.12,0.1,0.781,0.509,0.219,0.387,0.156,0.015,0.248,0.584,0.416
Seq_8278,0.117,0.11,0.773,0.209,0.54,0.474,0.074,0.074,0.11,0.117,0.773,0.521,0.215,0.36,0.125,0.037,0.252,0.503,0.497
Seq_8279,0.142,0.137,0.722,0.167,0.509,0.448,0.04,0.057,0.137,0.142,0.722,0.495,0.226,0.347,0.113,0.035,0.238,0.524,0.476
Seq_8280,0.122,0.133,0.745,0.148,0.57,0.483,0.053,0.084,0.133,0.122,0.745,0.532,0.202,0.338,0.103,0.042,0.205,0.471,0.529
Seq_8281,0.112,0.106,0.782,0.185,0.55,0.489,0.047,0.041,0.106,0.112,0.782,0.554,0.207,0.338,0.121,0.05,0.265,0.562,0.438
Seq_8282,0.113,0.121,0.766,0.142,0.539,0.475,0.028,0.071,0.121,0.113,0.766,0.532,0.227,0.262,0.085,0.043,0.241,0.539,0.461
Seq_8283,0.124,0.137,0.739,0.15,0.575,0.503,0.065,0.065,0.137,0.124,0.739,0.569,0.203,0.307,0.085,0.052,0.229,0.471,0.529
Seq_8284,0.124,0.118,0.758,0.278,0.455,0.409,0.055,0.055,0.118,0.124,0.758,0.482,0.204,0.396,0.132,0.079,0.311,0.549,0.451
Seq_8285,0.121,0.119,0.76,0.229,0.499,0.455,0.038,0.032,0.119,0.121,0.76,0.515,0.19,0.382,0.131,0.039,0.304,0.546,0.454
Seq_8286,0.122,0.118,0.76,0.227,0.5,0.455,0.037,0.032,0.118,0.122,0.76,0.514,0.191,0.381,0.13,0.039,0.303,0.547,0.453
Seq_8287,0.123,0.12,0.757,0.229,0.487,0.438,0.035,0.033,0.12,0.123,0.757,0.508,0.198,0.376,0.128,0.043,0.288,0.539,0.461
Seq_8288,0.114,0.121,0.765,0.159,0.568,0.5,0.061,0.076,0.121,0.114,0.765,0.598,0.212,0.288,0.114,0.023,0.295,0.606,0.394
Seq_8289,0.137,0.124,0.739,0.182,0.532,0.439,0.041,0.102,0.124,0.137,0.739,0.494,0.204,0.36,0.092,0.032,0.268,0.545,0.455
Seq_8290,0.146,0.095,0.759,0.201,0.54,0.467,0.04,0.047,0.095,0.146,0.759,0.533,0.204,0.354,0.124,0.047,0.274,0.489,0.511
Seq_8291,0.15,0.157,0.693,0.165,0.493,0.422,0.028,0.059,0.157,0.15,0.693,0.514,0.212,0.333,0.097,0.05,0.222,0.468,0.532
Seq_8292,0.154,0.171,0.674,0.16,0.48,0.413,0.059,0.079,0.171,0.154,0.674,0.466,0.247,0.343,0.09,0.034,0.191,0.427,0.573
Seq_8293,0.182,0.11,0.708,0.137,0.546,0.46,0.058,0.096,0.11,0.182,0.708,0.498,0.265,0.296,0.072,0.031,0.23,0.485,0.515
Seq_8294,0.096,0.1,0.804,0.23,0.521,0.435,0.067,0.108,0.1,0.096,0.804,0.493,0.216,0.397,0.159,0.025,0.297,0.626,0.374
Seq_8295,0.131,0.14,0.73,0.308,0.372,0.323,0.041,0.058,0.14,0.131,0.73,0.459,0.221,0.387,0.137,0.128,0.331,0.567,0.433
Seq_8296,0.124,0.101,0.775,0.256,0.488,0.395,0.043,0.109,0.101,0.124,0.775,0.496,0.198,0.38,0.143,0.047,0.233,0.5,0.5
Seq_8297,0.132,0.109,0.759,0.252,0.474,0.387,0.041,0.109,0.109,0.132,0.759,0.474,0.207,0.387,0.139,0.038,0.222,0.504,0.496
Seq_8298,0.104,0.129,0.767,0.178,0.571,0.496,0.053,0.08,0.129,0.104,0.767,0.516,0.176,0.39,0.106,0.041,0.312,0.578,0.422
Seq_8299,0.119,0.146,0.735,0.139,0.596,0.53,0.099,0.066,0.146,0.119,0.735,0.583,0.219,0.318,0.073,0.04,0.252,0.517,0.483
Seq_8300,0.107,0.089,0.804,0.196,0.571,0.488,0.065,0.113,0.089,0.107,0.804,0.571,0.208,0.31,0.089,0.03,0.208,0.518,0.482
Seq_8301,0.124,0.115,0.761,0.206,0.502,0.402,0.053,0.153,0.115,0.124,0.761,0.517,0.23,0.287,0.091,0.029,0.211,0.474,0.526
Seq_8302,0.091,0.132,0.777,0.192,0.552,0.474,0.059,0.089,0.132,0.091,0.777,0.535,0.183,0.376,0.132,0.026,0.263,0.599,0.401
Seq_8303,0.14,0.134,0.726,0.251,0.461,0.391,0.047,0.095,0.134,0.14,0.726,0.464,0.201,0.419,0.154,0.022,0.254,0.506,0.494
Seq_8304,0.151,0.127,0.722,0.181,0.512,0.441,0.043,0.08,0.127,0.151,0.722,0.492,0.224,0.344,0.094,0.037,0.211,0.485,0.515
Seq_8305,0.128,0.122,0.75,0.134,0.593,0.471,0.041,0.105,0.122,0.128,0.75,0.512,0.192,0.355,0.07,0.058,0.233,0.494,0.506
Seq_8306,0.157,0.146,0.697,0.213,0.454,0.37,0.036,0.087,0.146,0.157,0.697,0.457,0.224,0.395,0.126,0.042,0.204,0.473,0.527
Seq_8307,0.147,0.116,0.737,0.215,0.495,0.427,0.044,0.102,0.116,0.147,0.737,0.481,0.218,0.345,0.113,0.041,0.256,0.536,0.464
Seq_8308,0.139,0.13,0.731,0.222,0.468,0.389,0.043,0.077,0.13,0.139,0.731,0.487,0.222,0.342,0.118,0.073,0.246,0.483,0.517
Seq_8309,0.149,0.129,0.722,0.165,0.531,0.469,0.062,0.057,0.129,0.149,0.722,0.521,0.237,0.325,0.093,0.057,0.299,0.562,0.438
Seq_8310,0.117,0.162,0.721,0.169,0.461,0.364,0.045,0.084,0.162,0.117,0.721,0.448,0.253,0.338,0.091,0.065,0.182,0.506,0.494
Seq_8311,0.141,0.137,0.722,0.192,0.479,0.425,0.038,0.093,0.137,0.141,0.722,0.473,0.23,0.339,0.125,0.016,0.22,0.498,0.502
Seq_8312,0.175,0.095,0.73,0.23,0.445,0.358,0.04,0.102,0.095,0.175,0.73,0.485,0.27,0.281,0.109,0.069,0.15,0.387,0.613
Seq_8313,0.019,0.302,0.679,0.151,0.528,0.491,0.075,0.019,0.302,0.019,0.679,0.547,0.094,0.453,0.057,0.094,0.208,0.472,0.528
Seq_8314,0.14,0.106,0.754,0.229,0.469,0.385,0.022,0.095,0.106,0.14,0.754,0.469,0.218,0.318,0.084,0.056,0.212,0.436,0.564
